limit,timepoint,pitch,measured_b1,measured_b2,realb1,realb2
5300,0.27,170,29,53,60,80
5300,0.3,170,29,54,60,80
5200,0.03,170,27,52,60,80
5200,0.06,170,31,482,60,80
5200,0.09,170,27,52,60,80
5200,0.12,170,27,51,60,80
5200,0.15,170,27,52,60,80
5200,0.18,170,33,876,60,80
5200,0.21,170,28,52,60,80
5200,0.24,170,27,51,60,80
5200,0.27,170,27,51,60,80
5200,0.3,170,27,51,60,80
5100,0.03,170,30,57,60,80
5100,0.06,170,27,53,60,80
5100,0.09,170,27,53,60,80
5100,0.12,170,28,53,60,80
5100,0.15,170,30,56,60,80
5100,0.18,170,31,261,60,80
5100,0.21,170,27,53,60,80
5100,0.24,170,27,53,60,80
5100,0.27,170,27,53,60,80
5100,0.3,170,27,53,60,80
5500,0.03,180,34,161,60,80
5500,0.06,180,34,159,60,80
5500,0.09,180,36,172,60,80
5500,0.12,180,35,166,60,80
5500,0.15,180,34,159,60,80
5500,0.18,180,34,160,60,80
5500,0.21,180,39,194,60,80
5500,0.24,180,34,158,60,80
5500,0.27,180,34,160,60,80
5500,0.3,180,34,159,60,80
5400,0.03,180,47,689,60,80
5400,0.06,180,39,198,60,80
5400,0.09,180,37,182,60,80
5400,0.12,180,41,329,60,80
5400,0.15,180,39,192,60,80
5400,0.18,180,34,165,60,80
5400,0.21,180,34,164,60,80
5400,0.24,180,34,164,60,80
5400,0.27,180,34,164,60,80
5400,0.3,180,35,169,60,80
5300,0.03,180,35,171,60,80
5300,0.06,180,35,171,60,80
5300,0.09,180,35,171,60,80
5300,0.12,180,35,172,60,80
5300,0.15,180,36,175,60,80
5300,0.18,180,36,180,60,80
5300,0.21,180,37,187,60,80
5300,0.24,180,39,194,60,80
5300,0.27,180,41,337,60,80
5300,0.3,180,37,181,60,80
5200,0.03,180,37,188,60,80
5200,0.06,180,39,200,60,80
5200,0.09,180,36,181,60,80
5200,0.12,180,36,181,60,80
5200,0.15,180,37,187,60,80
5200,0.18,180,49,652,60,80
5200,0.21,180,36,183,60,80
5200,0.24,180,36,178,60,80
5200,0.27,180,36,178,60,80
5200,0.3,180,36,179,60,80
5100,0.03,180,38,199,60,80
5100,0.06,180,37,189,60,80
5100,0.09,180,37,189,60,80
5100,0.12,180,38,195,60,80
5100,0.15,180,45,759,60,80
5100,0.18,180,40,213,60,80
5100,0.21,180,37,190,60,80
5100,0.24,180,37,188,60,80
5100,0.27,180,37,187,60,80
5100,0.3,180,37,191,60,80
5500,0.03,190,102,88,60,80
5500,0.06,190,102,87,60,80
5500,0.09,190,108,93,60,80
5500,0.12,190,114,99,60,80
5500,0.15,190,103,88,60,80
5500,0.18,190,104,89,60,80
5500,0.21,190,133,120,60,80
5500,0.24,190,101,86,60,80
5500,0.27,190,101,86,60,80
5500,0.3,190,101,86,60,80
5400,0.03,190,133,119,60,80
5400,0.06,190,131,117,60,80
5400,0.09,190,112,97,60,80
5400,0.12,190,118,103,60,80
5400,0.15,190,139,127,60,80
5400,0.18,190,104,89,60,80
5400,0.21,190,102,87,60,80
5400,0.24,190,101,87,60,80
5400,0.27,190,102,87,60,80
5400,0.3,190,113,98,60,80
5300,0.03,190,103,89,60,80
5300,0.06,190,104,89,60,80
5300,0.09,190,104,90,60,80
5300,0.12,190,105,91,60,80
5300,0.15,190,106,91,60,80
5300,0.18,190,108,93,60,80
5300,0.21,190,111,96,60,80
5300,0.24,190,119,104,60,80
5300,0.27,190,147,139,60,80
5300,0.3,190,103,89,60,80
5200,0.03,190,123,109,60,80
5200,0.06,190,114,99,60,80
5200,0.09,190,107,92,60,80
5200,0.12,190,108,93,60,80
5200,0.15,190,117,103,60,80
5200,0.18,190,138,126,60,80
5200,0.21,190,107,93,60,80
5200,0.24,190,104,90,60,80
5200,0.27,190,104,90,60,80
5200,0.3,190,116,102,60,80
5100,0.03,190,110,96,60,80
5100,0.06,190,107,93,60,80
5100,0.09,190,108,94,60,80
5100,0.12,190,115,101,60,80
5100,0.15,190,155,150,60,80
5100,0.18,190,117,103,60,80
5100,0.21,190,108,94,60,80
5100,0.24,190,106,92,60,80
5100,0.27,190,106,92,60,80
5100,0.3,190,128,114,60,80
